external_id,brand,model,source_url,crawled_at
allinbox-1612-v3,Zennio,ALLinBOX 1612 v3,https://www.knx.org/devices/allinbox-1612-v3,2026-08-13T02:02:25.149233+00:00
luna-134,Theben AG,LUNA 134,https://www.knx.org/devices/luna-134,2026-08-13T02:02:25.149233+00:00
24a-knx-actuator,BELIMO Automation AG,"..24A-KNX, Actuator",https://www.knx.org/devices/24a-knx-actuator,2026-08-13T02:02:25.149233+00:00
24a-knx-actuator-0,BELIMO Automation AG,"..24A-KNX, Actuator",https://www.knx.org/devices/24a-knx-actuator-0,2026-08-13T02:02:25.149233+00:00
v-d3-knx-vav-controller,BELIMO Automation AG,"..V-D3-KNX, VAV-Controller",https://www.knx.org/devices/v-d3-knx-vav-controller,2026-08-13T02:02:25.149233+00:00
v-d3-knx-vav-controller-0,BELIMO Automation AG,"..V-D3-KNX, VAV-Controller",https://www.knx.org/devices/v-d3-knx-vav-controller-0,2026-08-13T02:02:25.149233+00:00
879-443-knx-dimmer-dali-3-channel,Hugo Müller GmbH & Co KG,"[879 443 knx] Dimmer – DALI, 3-channel",https://www.knx.org/devices/879-443-knx-dimmer-dali-3-channel,2026-08-13T02:02:25.149233+00:00
0-10v-fan-coil-actuator,"Zhejiang Moorgen Group Co.,Ltd",0-10V Fan Coil Actuator,https://www.knx.org/devices/0-10v-fan-coil-actuator,2026-08-13T02:02:25.149233+00:00
0-10v-fan-coil-actuator-secure,GVS,0-10V Fan Coil Actuator with Secure,https://www.knx.org/devices/0-10v-fan-coil-actuator-secure,2026-08-13T02:02:25.149233+00:00
015001-power-supply320mamdrc,VIMAR,"01500.1 Power supply,320mA,MDRC",https://www.knx.org/devices/015001-power-supply320mamdrc,2026-08-13T02:02:25.149233+00:00
015002-power-supply-unit-320ma-knx,VIMAR,01500.2 Power supply unit 320mA KNX,https://www.knx.org/devices/015002-power-supply-unit-320ma-knx,2026-08-13T02:02:25.149233+00:00
015011-power-supply640mamdrc,VIMAR,"01501.1 Power supply,640mA,MDRC",https://www.knx.org/devices/015011-power-supply640mamdrc,2026-08-13T02:02:25.149233+00:00
015012-power-supply-unit-640ma-knx,VIMAR,01501.2 Power supply unit 640mA KNX,https://www.knx.org/devices/015012-power-supply-unit-640ma-knx,2026-08-13T02:02:26.590334+00:00
015041-line-area-coupler-mdrc,VIMAR,"01504.1  Line-/Area Coupler, MDRC",https://www.knx.org/devices/015041-line-area-coupler-mdrc,2026-08-13T02:02:26.590334+00:00
015042-line-coupler,VIMAR,01504.2 Line coupler,https://www.knx.org/devices/015042-line-coupler,2026-08-13T02:02:26.590334+00:00
015042-line-coupler-0,VIMAR,01504.2 Line coupler,https://www.knx.org/devices/015042-line-coupler-0,2026-08-13T02:02:26.590334+00:00
01506-me-plus-knx-secure-tp-router,VIMAR,01506 By-me Plus KNX Secure TP router,https://www.knx.org/devices/01506-me-plus-knx-secure-tp-router,2026-08-13T02:02:26.590334+00:00
01507-me-plus-knx-secure-ip-router,VIMAR,01507 By-me Plus KNX Secure IP router,https://www.knx.org/devices/01507-me-plus-knx-secure-ip-router,2026-08-13T02:02:26.590334+00:00
01510-4-fold-input,VIMAR,01510 4 Fold Input,https://www.knx.org/devices/01510-4-fold-input,2026-08-13T02:02:26.590334+00:00
01514-2inputsoutputs-interface,VIMAR,01514 2Inputs/Outputs Interface,https://www.knx.org/devices/01514-2inputsoutputs-interface,2026-08-13T02:02:26.590334+00:00
015151-universal-interfaces-4-fold,VIMAR,"01515.1 Universal Interfaces, 4-fold",https://www.knx.org/devices/015151-universal-interfaces-4-fold,2026-08-13T02:02:26.590334+00:00
01521-switch-actuator-12-fold-10a,VIMAR,01521 Switch actuator 12-fold 10A,https://www.knx.org/devices/01521-switch-actuator-12-fold-10a,2026-08-13T02:02:26.590334+00:00
015211-switch-actuator-12-fold-10a,VIMAR,01521.1 Switch actuator 12-fold 10A,https://www.knx.org/devices/015211-switch-actuator-12-fold-10a,2026-08-13T02:02:26.590334+00:00
01522-4-fold-inputoutput,VIMAR,01522 4 Fold Input/Output,https://www.knx.org/devices/01522-4-fold-inputoutput,2026-08-13T02:02:26.590334+00:00
015221-4-fold-inputoutput-knx-secure,VIMAR,01522.1 4 Fold Input/Output KNX secure,https://www.knx.org/devices/015221-4-fold-inputoutput-knx-secure,2026-08-13T02:02:28.023962+00:00
01523-4-fold-output,VIMAR,01523 4 Fold Output,https://www.knx.org/devices/01523-4-fold-output,2026-08-13T02:02:28.023962+00:00
015231-4-fold-output-knx-secure,VIMAR,01523.1 4 Fold Output KNX secure,https://www.knx.org/devices/015231-4-fold-output-knx-secure,2026-08-13T02:02:28.023962+00:00
01524-2-fold-shutter,VIMAR,01524 2 Fold Shutter,https://www.knx.org/devices/01524-2-fold-shutter,2026-08-13T02:02:28.023962+00:00
01525-blindshutter-actuator-8-fold,VIMAR,01525 Blind/Shutter Actuator 8-fold,https://www.knx.org/devices/01525-blindshutter-actuator-8-fold,2026-08-13T02:02:28.023962+00:00
01527-kompakt-prasenzmelder,VIMAR,01527 Kompakt-Präsenzmelder,https://www.knx.org/devices/01527-kompakt-prasenzmelder,2026-08-13T02:02:28.023962+00:00
015272-presence-and-motion-detector-knx-secure,VIMAR,01527.2 Presence and Motion Detector KNX Secure,https://www.knx.org/devices/015272-presence-and-motion-detector-knx-secure,2026-08-13T02:02:28.023962+00:00
015291-prasenzmelder,VIMAR,01529.1 Präsenzmelder,https://www.knx.org/devices/015291-prasenzmelder,2026-08-13T02:02:28.023962+00:00
015292-motion-detector-knx-secure,VIMAR,01529.2 Motion Detector KNX Secure,https://www.knx.org/devices/015292-motion-detector-knx-secure,2026-08-13T02:02:28.023962+00:00
01532-16-fold-output-knx-secure,VIMAR,01532 16 Fold Output KNX Secure,https://www.knx.org/devices/01532-16-fold-output-knx-secure,2026-08-13T02:02:28.023962+00:00
01535-6-out-solenoid-valve-actuator,VIMAR,01535 6-out solenoid valve actuator,https://www.knx.org/devices/01535-6-out-solenoid-valve-actuator,2026-08-13T02:02:28.023962+00:00
01536-analogaktor-4-fach,VIMAR,01536 Analogaktor 4-fach,https://www.knx.org/devices/01536-analogaktor-4-fach,2026-08-13T02:02:28.023962+00:00
01538-dimmer-actuator-2-fold-knx,VIMAR,01538 Dimmer actuator 2-fold KNX,https://www.knx.org/devices/01538-dimmer-actuator-2-fold-knx,2026-08-13T02:02:29.631235+00:00
01542-dali-gateway-1-channel,VIMAR,01542 Dali gateway 1 channel,https://www.knx.org/devices/01542-dali-gateway-1-channel,2026-08-13T02:02:29.631235+00:00
01542-dali-gateway-1-channel-0,VIMAR,01542 Dali gateway 1 channel,https://www.knx.org/devices/01542-dali-gateway-1-channel-0,2026-08-13T02:02:29.631235+00:00
01544-dali-gateway-8-fold,VIMAR,01544 DALI Gateway 8-fold,https://www.knx.org/devices/01544-dali-gateway-8-fold,2026-08-13T02:02:29.631235+00:00
01546-knx-weather-station,VIMAR,01546 KNX Weather Station,https://www.knx.org/devices/01546-knx-weather-station,2026-08-13T02:02:29.631235+00:00
01548-ip-knx-secure-router,VIMAR,01548 IP KNX secure Router,https://www.knx.org/devices/01548-ip-knx-secure-router,2026-08-13T02:02:29.631235+00:00
01548-ip-knx-secure-router-0,VIMAR,01548 IP KNX secure Router,https://www.knx.org/devices/01548-ip-knx-secure-router-0,2026-08-13T02:02:29.631235+00:00
01550-dimming-actuator-110v-4-out-knx,VIMAR,01550 Dimming actuator 1/10V 4 OUT KNX,https://www.knx.org/devices/01550-dimming-actuator-110v-4-out-knx,2026-08-13T02:02:29.631235+00:00
015501-dimming-actuator-110v-4-out-knx-secure,VIMAR,01550.1 Dimming actuator 1/10V 4 OUT KNX Secure,https://www.knx.org/devices/015501-dimming-actuator-110v-4-out-knx-secure,2026-08-13T02:02:29.631235+00:00
01560-room-touch-screen-5,VIMAR,01560 Room Touch Screen 5'',https://www.knx.org/devices/01560-room-touch-screen-5,2026-08-13T02:02:29.631235+00:00
01580-pushbuttons-knx,VIMAR,01580 Pushbuttons KNX,https://www.knx.org/devices/01580-pushbuttons-knx,2026-08-13T02:02:29.631235+00:00
01580-pushbuttons-knx-0,VIMAR,01580 Pushbuttons KNX,https://www.knx.org/devices/01580-pushbuttons-knx-0,2026-08-13T02:02:29.631235+00:00
01580-pushbuttons-knx-1,VIMAR,01580 Pushbuttons KNX,https://www.knx.org/devices/01580-pushbuttons-knx-1,2026-08-13T02:02:31.265124+00:00
01581-pushbuttons-actuator-knx,VIMAR,01581 Pushbuttons with actuator KNX,https://www.knx.org/devices/01581-pushbuttons-actuator-knx,2026-08-13T02:02:31.265124+00:00
01581-pushbuttons-actuator-knx-0,VIMAR,01581 Pushbuttons with actuator KNX,https://www.knx.org/devices/01581-pushbuttons-actuator-knx-0,2026-08-13T02:02:31.265124+00:00
01581-pushbuttons-actuator-knx-1,VIMAR,01581 Pushbuttons with actuator KNX,https://www.knx.org/devices/01581-pushbuttons-actuator-knx-1,2026-08-13T02:02:31.265124+00:00
01581-pushbuttons-actuator-knx-2,VIMAR,01581 Pushbuttons with actuator KNX,https://www.knx.org/devices/01581-pushbuttons-actuator-knx-2,2026-08-13T02:02:31.265124+00:00
01582-pushbuttons-shutter-knx,VIMAR,01582 Pushbuttons with shutter KNX,https://www.knx.org/devices/01582-pushbuttons-shutter-knx,2026-08-13T02:02:31.265124+00:00
01582-pushbuttons-shutter-knx-0,VIMAR,01582 Pushbuttons with shutter KNX,https://www.knx.org/devices/01582-pushbuttons-shutter-knx-0,2026-08-13T02:02:31.265124+00:00
01582-pushbuttons-shutter-knx-1,VIMAR,01582 Pushbuttons with shutter KNX,https://www.knx.org/devices/01582-pushbuttons-shutter-knx-1,2026-08-13T02:02:31.265124+00:00
